day,hora,divers
09/09/2021,"[13,18)",34
09/09/2021,"[19,23)",20
09/09/2021,"[8,11)",45
10/09/2021,"[11,13)",44
10/09/2021,"[13,18)",44
10/09/2021,"[19,23)",32
10/09/2021,"[8,11)",44
11/09/2021,"[11,13)",44
11/09/2021,"[13,18)",44
11/09/2021,"[19,23)",0
11/09/2021,"[8,11)",44
12/09/2021,"[11,13)",44
12/09/2021,"[13,18)",32
12/09/2021,"[19,23)",12
12/09/2021,"[8,11)",44
13/09/2021,"[11,13)",24
13/09/2021,"[13,18)",24
13/09/2021,"[19,23)",0
13/09/2021,"[8,11)",48
14/09/2021,"[11,13)",45
14/09/2021,"[13,18)",44
14/09/2021,"[19,23)",0
14/09/2021,"[8,11)",45
15/09/2021,"[11,13)",44
15/09/2021,"[13,18)",44
15/09/2021,"[19,23)",0
15/09/2021,"[8,11)",44
16/09/2021,"[11,13)",44
16/09/2021,"[13,18)",44
16/09/2021,"[19,23)",20
16/09/2021,"[8,11)",44
17/09/2021,"[11,13)",43
17/09/2021,"[13,18)",44
17/09/2021,"[19,23)",20
17/09/2021,"[8,11)",43
18/09/2021,"[11,13)",46
18/09/2021,"[13,18)",46
18/09/2021,"[19,23)",0
18/09/2021,"[8,11)",46
